Chave Secundária    ,Chave               ,Categorias                                                                                          ,
0                   ,261                 ,2010-03-10                                                                                          
0                   ,267                 ,['Betty Antunes de Oliveira']                                                                                                                                                                                                                                                                                                                                                                                   
76                  ,268                 ,['Bibles']                                                                                          
0                   ,276                 ,2017-07-04                                                                                          
0                   ,277                 ,2000-11                                                                                             
77                  ,278                 , 'Lindsay Brown'
78                  ,279                 ,['Christian life']                                                                                  
0                   ,280                 ,2014-09-19                                                                                          
0                   ,288                 ,2018-08-14                                                                                          
79                  ,289                 , 'K Hodgkinson'
80                  ,290                 ,Sports Publishing LLC                                                                               
0                   ,292                 ,2009-10-31                                                                                          
81                  ,294                 ,['Crafts & Hobbies']                                                                                
82                  ,297                 ,['Chile']                                                                                           
83                  ,298                 ,['Authors
84                  ,304                 ,JHU Press                                                                                           
0                   ,306                 ,2010-10-30                                                                                          
85                  ,307                 ,['Detective and mystery stories']                                                                   
0                   ,308                 ,2013-05-13                                                                                          
86                  ,310                 ,['Medical']                                                                                         
0                   ,312                 ,2012-10-02                                                                                          
87                  ,314                 ,London : B.M. Pickering                                                                             
88                  ,317                 ,['JUVENILE NONFICTION']                                                                             
89                  ,318                 ,Westview Press                                                                                      
90                  ,320                 ,['Golf']                                                                                            
91                  ,321                 ,['Constitutional law']                                                                              
92                  ,322                 ,['Caterpillars']                                                                                    
93                  ,324                 , Inc.                                                                              
94                  ,326                 ,Simon and Schuster                                                                                  
0                   ,329                 ,1989                                                                                                
0                   ,335                 ,2015-06-17                                                                                          
0                   ,336                 ,1995-08-13                                                                                          
0                   ,338                 ,1979-01                                                                                             
95                  ,339                 ,['Humanism']                                                                                        
0                   ,341                 ,2001                                                                                                
96                  ,342                 ,['Best books']                                                                                      
0                   ,343                 ,2016-08-19                                                                                          
0                   ,345                 ,2004-02-01                                                                                          
0                   ,346                 ,1973-06-07                                                                                          
97                  ,348                 ,['House buying']                                                                                    
0                   ,352                 ,2011-03-03                                                                                          
98                  ,354                 ,['Feminism']                                                                                        
0                   ,358                 ,2016-04-29                                                                                          
0                   ,359                 ,2003                                                                                                
99                  ,361                 ,Gun Digest Books                                                                                    
100                 ,363                 ,['Library science']                                                                                 
0                   ,372                 ,2004-04-01                                                                                          
101                 ,380                 ,['Livingston County (N.Y.)']                                                                        
102                 ,387                 ,['Antiques & Collectibles']                                                                         
103                 ,389                 ,['East Asia']                                                                                       
104                 ,392                 ,Prentice Hall                                                                                       
105                 ,394                 ,['Soil conservation']                                                                               
106                 ,395                 ,['Civilization
107                 ,396                 ,['Diaries']                                                                                         
0                   ,397                 ,2013-11-13                                                                                          
0                   ,399                 ,1993                                                                                                
108                 ,400                 ,['Floor coverings']                                                                                 
109                 ,404                 ,['Bears']                                                                                           
110                 ,405                 ,['Self-Help']                                                                                       
111                 ,409                 ,Rizzoli International Publications                                                                  
0                   ,411                 ,2010                                                                                                
112                 ,412                 , 'Anne Matthews'
113                 ,414                 , Straus and Giroux                                                                           
0                   ,416                 ,1899                                                                                                
0                   ,419                 ,2005-02                                                                                             
0                   ,424                 ,1998-01-01                                                                                          
114                 ,426                 ,McGraw-Hill Professional Publishing                                                                 
115                 ,429                 ,['Acteurs de cinéma - États-Unis - Biographies']                                                    
0                   ,433                 ,1998                                                                                                
0                   ,434                 , 'Irina Tweedie']                                                                                                                                                                                                                                                                                                                                                                      
0                   ,437                 ,2000-08-07                                                                                          
0                   ,444                 ,2003-09-01                                                                                          
116                 ,448                 ,['Business enterprises']                                                                            
117                 ,452                 ,['Devotional calendars']                                                                            
0                   ,455                 ,1991-01-01                                                                                          
118                 ,458                 ,W. W. Norton & Company                                                                              
119                 ,460                 ,['Bus travel']                                                                                      
0                   ,461                 , 'Herbert Montfort Morais']                                                                                                                                                                                                                                                                                                                                              
120                 ,468                 ,Princeton University Press                                                                          
121                 ,471                 ,['Intelligence officers']                                                                           
0                   ,472                 ,2012-01-24                                                                                          
0                   ,477                 ,1990                                                                                                
0                   ,478                 , 'William Asadorian']                                                                                                                                                                                                                                                                                                                                                                    
0                   ,481                 ,1998-08-03                                                                                          
122                 ,494                 ,['American fiction']                                                                                
123                 ,501                 ,['Families']                                                                                        
0                   ,504                 ,2010-05-06                                                                                          
0                   ,505                 , 'Judith Taylor']                                                                                                                                                                                                                                                                                                                                                                              
124                 ,508                 , USA                                                                        
0                   ,510                 ,1997-12                                                                                             
0                   ,513                 ,1995-01-01                                                                                          
125                 ,519                 ,['Corporation law']                                                                                 
0                   ,520                 ,2014                                                                                                
0                   ,522                 ,2008-01-15                                                                                          
0                   ,523                 ,1995-05                                                                                             
0                   ,530                 ,1997-10-07                                                                                          
0                   ,534                 , 'Allen Winold']                                                                                                                                                                                                                                                                                                                                                                                
126                 ,538                 ,Viking Press                                                                                        
127                 ,539                 ,Mcgraw-hill                                                                                         
0                   ,540                 ,1993-01                                                                                             
0                   ,541                 ,1958                                                                                                
0                   ,542                 ,1971                                                                                                
128                 ,548                 ,['Vietnam War
129                 ,549                 ,['Science fiction
0                   ,552                 ,2016-07-26                                                                                          
130                 ,554                 ,University of Nevada Press                                                                          
0                   ,556                 ,2008                                                                                                
131                 ,560                 ,Rr Bowker Llc                                                                                       
132                 ,564                 ,Harcourt                                                                                            
133                 ,565                 ,['School yearbooks']                                                                                
0                   ,573                 ,2021-09                                                                                             
0                   ,574                 ,2014-02-21                                                                                          
0                   ,575                 , 'Hal Colebatch']                                                                                                                                                                                                                                                                                                                                                 
0                   ,578                 ,1952                                                                                                
0                   ,582                 ,1996-08-01                                                                                          
0                   ,587                 ,1973                                                                                                
134                 ,589                 ,Penguin Books                                                                                       
135                 ,593                 ,['Presbyterian Church']                                                                             
136                 ,596                 ,Stoddart                                                                                            
137                 ,597                 ,McGraw Hill Professional                                                                            
0                   ,599                 ,2006-11                                                                                             
138                 ,600                 ,['Ghost stories
139                 ,603                 ,['Alaska']                                                                                          
140                 ,604                 ,['Photography']                                                                                     
141                 ,606                 ,['Literary Criticism']                                                                              
142                 ,611                 ,['Virginia Hamilton'
