Avaliação           ,Chave               
1.0                 ,1889                
3.0                 ,1890                
3.0                 ,1891                
1.0                 ,1901                
3.0                 ,1911                
1.0                 ,1916                
3.0                 ,1917                
5.0                 ,1922                
1.0                 ,1928                
3.0                 ,1934                
4.0                 ,1937                
13.0                ,1940                
14.0                ,1943                
22.0                ,1944                
4.0                 ,1946                
1.0                 ,1948                
1.0                 ,1949                
1.0                 ,1951                
6.0                 ,1962                
2.0                 ,1963                
1.0                 ,1965                
2.0                 ,1969                
13.0                ,1977                
2.0                 ,1978                
2.0                 ,1982                
1.0                 ,1993                
2.0                 ,1994                
1.0                 ,1996                
11.0                ,1998                
2.0                 ,2008                
2.0                 ,2012                
1.0                 ,2014                
1.0                 ,2031                
8.0                 ,2041                
2.0                 ,2059                
1.0                 ,2063                
3.0                 ,2071                
16.0                ,2092                
1.0                 ,2093                
2.0                 ,2097                
1.0                 ,2108                
19.0                ,2110                
3.0                 ,2111                
1.0                 ,2114                
2.0                 ,2122                
2.0                 ,2126                
3.0                 ,2136                
111.0               ,2142                
1.0                 ,2145                
3.0                 ,2159                
7.0                 ,2168                
4.0                 ,2177                
21.0                ,2198                
4.0                 ,2206                
4.0                 ,2207                
3.0                 ,2212                
5.0                 ,2222                
4.0                 ,2233                
1.0                 ,2234                
1.0                 ,2245                
1.0                 ,2247                
5.0                 ,2248                
2.0                 ,2260                
1.0                 ,2279                
3.0                 ,2280                
1.0                 ,2283                
2.0                 ,2288                
4.0                 ,2294                
1.0                 ,2297                
8.0                 ,2304                
54.0                ,2310                
1.0                 ,2317                
1.0                 ,2324                
3.0                 ,2340                
1.0                 ,2343                
1.0                 ,2347                
4.0                 ,2355                
2.0                 ,2362                
1.0                 ,2367                
2.0                 ,2368                
19.0                ,2369                
1.0                 ,2380                
1.0                 ,2390                
5.0                 ,2395                
1.0                 ,2397                
2.0                 ,2410                
3.0                 ,2415                
1.0                 ,2417                
1.0                 ,2418                
2.0                 ,2424                
30.0                ,2443                
3.0                 ,2453                
1.0                 ,2454                
4.0                 ,2463                
8.0                 ,2467                
2.0                 ,2471                
1.0                 ,2472                
2.0                 ,2475                
1.0                 ,2477                
2.0                 ,2480                
2.0                 ,2481                
3.0                 ,2483                
40.0                ,2499                
1.0                 ,2505                
1.0                 ,2509                
14.0                ,2521                
6.0                 ,2524                
1.0                 ,2525                
1.0                 ,2531                
2.0                 ,2533                
1.0                 ,2536                
1.0                 ,2540                
5.0                 ,2543                
6.0                 ,2550                
15.0                ,2558                
8.0                 ,2562                
4.0                 ,2568                
2.0                 ,2575                
2.0                 ,2591                
8.0                 ,2596                
12.0                ,2597                
3.0                 ,2604                
4.0                 ,2609                
5.0                 ,2614                
1.0                 ,2617                
4.0                 ,2619                
2.0                 ,2620                
3.0                 ,2625                
5.0                 ,2631                
2.0                 ,2637                
4.0                 ,2638                
2.0                 ,2640                
9.0                 ,2649                
4.0                 ,2650                
2.0                 ,2652                
1.0                 ,2659                
1.0                 ,2660                
7.0                 ,2662                
3.0                 ,2668                
2.0                 ,2670                
7.0                 ,2674                
13.0                ,2677                
2.0                 ,2687                
4.0                 ,2694                
6.0                 ,2695                
1.0                 ,2699                
72.0                ,2709                
2.0                 ,2714                
3.0                 ,2727                
3.0                 ,2743                
1.0                 ,2747                
10.0                ,2749                
1.0                 ,2751                
1.0                 ,2754                
6.0                 ,2763                
3.0                 ,2772                
1.0                 ,2773                
2.0                 ,2774                
2.0                 ,2777                
37.0                ,2786                
1.0                 ,2799                
1.0                 ,2822                
1.0                 ,2825                
21.0                ,2826                
4.0                 ,2830                
1.0                 ,2831                
1.0                 ,2832                
1.0                 ,2833                
10.0                ,2836                
2.0                 ,2846                
68.0                ,2848                
17.0                ,2856                
1.0                 ,2857                
1.0                 ,2863                
2.0                 ,2865                
1.0                 ,2892                
3.0                 ,2894                
1.0                 ,2896                
18.0                ,2902                
1.0                 ,2908                
1.0                 ,2914                
2.0                 ,2915                
1.0                 ,2917                
1.0                 ,2919                
2.0                 ,2923                
1.0                 ,2926                
3.0                 ,2927                
2.0                 ,2928                
2.0                 ,2935                
1.0                 ,2938                
2.0                 ,2939                
1.0                 ,2942                
1.0                 ,2949                
7.0                 ,2953                
4.0                 ,2955                
6.0                 ,2957                
1.0                 ,2962                
1.0                 ,2966                
4.0                 ,2971                
3.0                 ,2976                
1.0                 ,2983                
5.0                 ,2984                
3.0                 ,2986                
1.0                 ,2995                
10.0                ,3011                
2.0                 ,3020                
4.0                 ,3021                
8.0                 ,3022                
1.0                 ,3028                
2.0                 ,3029                
2.0                 ,3031                
11.0                ,3032                
7.0                 ,3044                
1.0                 ,3049                
1.0                 ,3057                
1.0                 ,3058                
1.0                 ,3062                
1.0                 ,3065                
2.0                 ,3069                
1.0                 ,3072                
1.0                 ,3078                
1.0                 ,3081                
2.0                 ,3103                
4.0                 ,3108                
1.0                 ,3113                
1.0                 ,3115                
2.0                 ,3126                
2.0                 ,3129                
1.0                 ,3145                
2.0                 ,3159                
1.0                 ,3163                
2.0                 ,3164                
3.0                 ,3168                
1.0                 ,3172                
3.0                 ,3174                
2.0                 ,3178                
2.0                 ,3179                
2.0                 ,3187                
5.0                 ,3188                
2.0                 ,3196                
1.0                 ,3199                
2.0                 ,3200                
1.0                 ,3201                
1.0                 ,3207                
1.0                 ,3210                
3.0                 ,3211                
2.0                 ,3216                
42.0                ,3235                
1.0                 ,3237                
8.0                 ,3241                
2.0                 ,3244                
25.0                ,3248                
14.0                ,3257                
1.0                 ,3260                
26.0                ,3261                
1.0                 ,3262                
16.0                ,3265                
1.0                 ,3285                
1.0                 ,3294                
2718.0              ,3296                
8.0                 ,3298                
1.0                 ,3304                
4.0                 ,3320                
3.0                 ,3333                
1.0                 ,3339                
2.0                 ,3344                
5.0                 ,3355                
10.0                ,3362                
10.0                ,3371                
2.0                 ,3390                
1.0                 ,3393                
2.0                 ,3394                
1.0                 ,3415                
5.0                 ,3416                
26.0                ,3419                
1.0                 ,3421                
1.0                 ,3424                
1.0                 ,3428                
1.0                 ,3435                
1.0                 ,3436                
54.0                ,3438                
