Avaliação           ,Chave               
1.0                 ,51477               
1.0                 ,51478               
1.0                 ,51481               
1.0                 ,51493               
3.0                 ,51496               
1.0                 ,51502               
2.0                 ,51513               
1.0                 ,51521               
1.0                 ,51529               
6.0                 ,51530               
2.0                 ,51535               
1.0                 ,51554               
1.0                 ,51556               
3.0                 ,51558               
6.0                 ,51559               
1.0                 ,51560               
11.0                ,51563               
1.0                 ,51566               
1.0                 ,51570               
1.0                 ,51573               
1.0                 ,51575               
2.0                 ,51578               
1.0                 ,51582               
1.0                 ,51592               
1.0                 ,51595               
509.0               ,51602               
1.0                 ,51608               
3.0                 ,51616               
1.0                 ,51632               
1.0                 ,51639               
2.0                 ,51651               
4.0                 ,51654               
34.0                ,51660               
2687.0              ,51663               
2.0                 ,51669               
1.0                 ,51670               
1.0                 ,51674               
1.0                 ,51677               
5.0                 ,51678               
2.0                 ,51679               
1.0                 ,51682               
2.0                 ,51684               
24.0                ,51691               
1.0                 ,51693               
8.0                 ,51702               
1.0                 ,51703               
35.0                ,51705               
3.0                 ,51708               
1.0                 ,51714               
1.0                 ,51724               
1.0                 ,51728               
1.0                 ,51734               
2.0                 ,51736               
6.0                 ,51738               
1.0                 ,51748               
80.0                ,51749               
3446.0              ,51753               
13.0                ,51756               
2.0                 ,51767               
7.0                 ,51772               
34.0                ,51779               
1.0                 ,51787               
3.0                 ,51788               
2.0                 ,51793               
1.0                 ,51795               
4.0                 ,51799               
2.0                 ,51808               
6.0                 ,51815               
2.0                 ,51819               
1.0                 ,51824               
1.0                 ,51831               
2.0                 ,51832               
12.0                ,51837               
3.0                 ,51838               
7.0                 ,51840               
9.0                 ,51846               
2.0                 ,51851               
70.0                ,51852               
15.0                ,51854               
1.0                 ,51855               
4.0                 ,51856               
1.0                 ,51857               
1.0                 ,51858               
3.0                 ,51865               
9.0                 ,51875               
1.0                 ,51876               
1.0                 ,51881               
6.0                 ,51882               
2.0                 ,51895               
4.0                 ,51896               
1.0                 ,51899               
2.0                 ,51912               
2.0                 ,51919               
1.0                 ,51924               
3.0                 ,51926               
7.0                 ,51928               
3.0                 ,51933               
1.0                 ,51934               
12.0                ,51956               
3.0                 ,51957               
1.0                 ,51963               
1.0                 ,51964               
1.0                 ,51966               
19.0                ,51968               
3.0                 ,51973               
5.0                 ,51978               
2.0                 ,51979               
179.0               ,51982               
1.0                 ,51991               
1.0                 ,51998               
1.0                 ,52005               
2.0                 ,52010               
14.0                ,52019               
2.0                 ,52027               
3413.0              ,52033               
10.0                ,52047               
3.0                 ,52054               
9.0                 ,52059               
7.0                 ,52065               
8.0                 ,52073               
1.0                 ,52080               
8.0                 ,52082               
1.0                 ,52087               
1.0                 ,52098               
3.0                 ,52113               
3.0                 ,52115               
1.0                 ,52154               
2.0                 ,52157               
6.0                 ,52161               
4.0                 ,52164               
3.0                 ,52169               
5.0                 ,52173               
92.0                ,52178               
3.0                 ,52181               
2.0                 ,52184               
1.0                 ,52188               
2.0                 ,52191               
8.0                 ,52205               
9.0                 ,52211               
1.0                 ,52215               
1.0                 ,52217               
6.0                 ,52229               
17.0                ,52231               
2.0                 ,52232               
30.0                ,52233               
1.0                 ,52252               
7.0                 ,52262               
3.0                 ,52263               
1.0                 ,52275               
1.0                 ,52278               
5.0                 ,52279               
2.0                 ,52286               
2.0                 ,52287               
2.0                 ,52293               
1.0                 ,52298               
1.0                 ,52300               
14.0                ,52302               
1.0                 ,52303               
1.0                 ,52314               
29.0                ,52321               
1.0                 ,52324               
1.0                 ,52325               
3.0                 ,52326               
2.0                 ,52331               
1.0                 ,52333               
6.0                 ,52340               
1.0                 ,52341               
1.0                 ,52350               
1.0                 ,52354               
22.0                ,52355               
1.0                 ,52367               
7.0                 ,52372               
2.0                 ,52380               
1.0                 ,52381               
4.0                 ,52384               
1.0                 ,52386               
1.0                 ,52387               
1.0                 ,52391               
5.0                 ,52395               
1.0                 ,52413               
1.0                 ,52417               
19.0                ,52422               
1.0                 ,52430               
4.0                 ,52433               
15.0                ,52435               
1.0                 ,52437               
1.0                 ,52438               
1.0                 ,52439               
3.0                 ,52440               
9.0                 ,52441               
7.0                 ,52455               
2.0                 ,52462               
10.0                ,52463               
4.0                 ,52466               
8.0                 ,52467               
2.0                 ,52472               
1.0                 ,52473               
1.0                 ,52495               
1.0                 ,52496               
1.0                 ,52506               
1.0                 ,52513               
3.0                 ,52514               
1.0                 ,52525               
11.0                ,52528               
183.0               ,52529               
1.0                 ,52531               
2.0                 ,52538               
4.0                 ,52543               
2.0                 ,52546               
12.0                ,52567               
26.0                ,52570               
33.0                ,52571               
2.0                 ,52579               
1.0                 ,52582               
1.0                 ,52583               
2.0                 ,52584               
3.0                 ,52586               
1.0                 ,52587               
16.0                ,52588               
4.0                 ,52597               
1.0                 ,52600               
12.0                ,52613               
2.0                 ,52618               
5.0                 ,52620               
13.0                ,52651               
3.0                 ,52657               
1.0                 ,52669               
4.0                 ,52672               
12.0                ,52673               
53.0                ,52679               
5.0                 ,52683               
76.0                ,52699               
1.0                 ,52701               
1.0                 ,52707               
1.0                 ,52708               
2.0                 ,52711               
1.0                 ,52721               
1.0                 ,52726               
1.0                 ,52753               
2.0                 ,52755               
3.0                 ,52759               
4.0                 ,52764               
1.0                 ,52774               
14.0                ,52776               
1.0                 ,52777               
3.0                 ,52782               
7.0                 ,52815               
1.0                 ,52816               
1.0                 ,52822               
3.0                 ,52849               
1.0                 ,52857               
4.0                 ,52861               
1.0                 ,52862               
1.0                 ,52872               
7.0                 ,52877               
1.0                 ,52883               
15.0                ,52884               
19.0                ,52895               
2.0                 ,52899               
3.0                 ,52903               
1.0                 ,52906               
2.0                 ,52909               
3.0                 ,52910               
1.0                 ,52913               
1.0                 ,52914               
1.0                 ,52920               
1.0                 ,52921               
1.0                 ,52922               
6.0                 ,52927               
2.0                 ,52931               
32.0                ,52934               
4.0                 ,52948               
3.0                 ,52955               
9.0                 ,52965               
3.0                 ,52978               
10.0                ,52980               
1.0                 ,52987               
4.0                 ,52989               
8.0                 ,52990               
3.0                 ,52991               
17.0                ,52992               
3.0                 ,52995               
5.0                 ,52997               
4.0                 ,53001               
17.0                ,53010               
1.0                 ,53012               
5.0                 ,53015               
 1990 [i.e. 1989]                                ,53016               
1.0                 ,53019               
1.0                 ,53021               
1.0                 ,53027               
1.0                 ,53036               
5.0                 ,53041               
1.0                 ,53062               
21.0                ,53065               
2.0                 ,53066               
1.0                 ,53067               
1.0                 ,53075               
5.0                 ,53085               
1.0                 ,53089               
2.0                 ,53095               
9.0                 ,53104               
3.0                 ,53107               
5.0                 ,53111               
2.0                 ,53121               
1.0                 ,53124               
1.0                 ,53131               
1.0                 ,53132               
1.0                 ,53135               
1.0                 ,53143               
1.0                 ,53153               
1.0                 ,53158               
2.0                 ,53160               
22.0                ,53166               
1.0                 ,53173               
1523.0              ,53175               
2.0                 ,53185               
1.0                 ,53200               
1.0                 ,53223               
1.0                 ,53226               
7.0                 ,53229               
3.0                 ,53235               
1.0                 ,53239               
15.0                ,53242               
2.0                 ,53244               
2.0                 ,53249               
12.0                ,53251               
2.0                 ,53259               
6.0                 ,53263               
1.0                 ,53268               
4.0                 ,53269               
1.0                 ,53270               
3.0                 ,53277               
1.0                 ,53278               
1.0                 ,53288               
1.0                 ,53297               
1.0                 ,53311               
9.0                 ,53314               
105.0               ,53315               
1.0                 ,53316               
153.0               ,53327               
9.0                 ,53328               
2.0                 ,53329               
1.0                 ,53332               
1.0                 ,53334               
4.0                 ,53335               
4.0                 ,53338               
11.0                ,53342               
1.0                 ,53343               
1.0                 ,53350               
8.0                 ,53352               
4.0                 ,53365               
3.0                 ,53369               
10.0                ,53381               
7.0                 ,53396               
6.0                 ,53400               
2.0                 ,53419               
3.0                 ,53431               
4.0                 ,53443               
1.0                 ,53446               
15.0                ,53456               
1.0                 ,53468               
2.0                 ,53472               
9.0                 ,53477               
1.0                 ,53481               
4.0                 ,53492               
1.0                 ,53505               
2.0                 ,53512               
2.0                 ,53517               
5.0                 ,53518               
1.0                 ,53519               
3.0                 ,53521               
7.0                 ,53523               
2.0                 ,53532               
1.0                 ,53540               
24.0                ,53562               
1.0                 ,53564               
7.0                 ,53580               
6.0                 ,53583               
2621.0              ,53592               
1.0                 ,53595               
5.0                 ,53603               
1.0                 ,53613               
5.0                 ,53615               
1.0                 ,53616               
3.0                 ,53618               
9.0                 ,53620               
3.0                 ,53629               
1.0                 ,53631               
6.0                 ,53638               
3.0                 ,53650               
1.0                 ,53652               
2.0                 ,53659               
2.0                 ,53664               
12.0                ,53672               
13.0                ,53676               
6.0                 ,53678               
1.0                 ,53683               
6.0                 ,53687               
15.0                ,53688               
3.0                 ,53689               
1.0                 ,53696               
1.0                 ,53701               
5.0                 ,53702               
10.0                ,53713               
1.0                 ,53730               
1.0                 ,53754               
6.0                 ,53756               
5.0                 ,53759               
2.0                 ,53762               
1.0                 ,53765               
4.0                 ,53766               
38.0                ,53768               
4.0                 ,53769               
1.0                 ,53774               
5.0                 ,53779               
1.0                 ,53781               
1.0                 ,53796               
2.0                 ,53797               
3.0                 ,53803               
1.0                 ,53807               
8.0                 ,53812               
5.0                 ,53815               
39.0                ,53820               
10.0                ,53826               
6.0                 ,53827               
1.0                 ,53842               
21.0                ,53854               
1.0                 ,53855               
1.0                 ,53857               
10.0                ,53858               
1.0                 ,53866               
1.0                 ,53893               
1.0                 ,53898               
1.0                 ,53909               
1.0                 ,53914               
10.0                ,53926               
1.0                 ,53928               
1.0                 ,53931               
3.0                 ,53934               
1.0                 ,53938               
3.0                 ,53945               
1.0                 ,53946               
2.0                 ,53950               
1.0                 ,53951               
4.0                 ,53960               
1.0                 ,53962               
3.0                 ,53964               
125.0               ,53970               
2.0                 ,53974               
2.0                 ,53981               
1.0                 ,53982               
1.0                 ,53984               
9.0                 ,53996               
1.0                 ,53998               
21.0                ,53999               
10.0                ,54000               
9.0                 ,54010               
2.0                 ,54030               
9.0                 ,54032               
1.0                 ,54036               
1.0                 ,54044               
4.0                 ,54045               
2.0                 ,54046               
11.0                ,54062               
1.0                 ,54066               
3.0                 ,54069               
4.0                 ,54070               
1.0                 ,54079               
8.0                 ,54085               
8.0                 ,54086               
11.0                ,54092               
268.0               ,54109               
1.0                 ,54120               
5.0                 ,54123               
1.0                 ,54127               
1.0                 ,54133               
1.0                 ,54137               
6.0                 ,54142               
16.0                ,54143               
4.0                 ,54157               
2.0                 ,54159               
1.0                 ,54160               
7.0                 ,54170               
4.0                 ,54171               
1.0                 ,54177               
1.0                 ,54180               
2.0                 ,54184               
1.0                 ,54187               
21.0                ,54188               
1.0                 ,54198               
3.0                 ,54229               
91.0                ,54241               
1.0                 ,54249               
1.0                 ,54250               
18.0                ,54255               
2.0                 ,54258               
13.0                ,54263               
1.0                 ,54266               
4.0                 ,54272               
14.0                ,54277               
2.0                 ,54280               
3.0                 ,54283               
7.0                 ,54287               
26.0                ,54292               
1.0                 ,54293               
27.0                ,54300               
1.0                 ,54301               
58.0                ,54305               
3.0                 ,54307               
1.0                 ,54308               
4.0                 ,54309               
9.0                 ,54312               
1.0                 ,54313               
1.0                 ,54315               
7.0                 ,54323               
7.0                 ,54326               
1.0                 ,54334               
24.0                ,54339               
51.0                ,54342               
1.0                 ,54343               
58.0                ,54347               
1.0                 ,54351               
1.0                 ,54354               
1.0                 ,54356               
1.0                 ,54364               
5.0                 ,54372               
1.0                 ,54380               
2.0                 ,54385               
87.0                ,54386               
1.0                 ,54390               
1.0                 ,54411               
3.0                 ,54412               
8.0                 ,54417               
1.0                 ,54421               
9.0                 ,54424               
1.0                 ,54425               
22.0                ,54428               
20.0                ,54432               
1.0                 ,54439               
3.0                 ,54444               
5.0                 ,54452               
1.0                 ,54454               
67.0                ,54471               
1.0                 ,54481               
1.0                 ,54482               
1.0                 ,54490               
35.0                ,54491               
4.0                 ,54497               
1.0                 ,54504               
3.0                 ,54507               
2.0                 ,54512               
3.0                 ,54514               
4.0                 ,54516               
6.0                 ,54517               
11.0                ,54518               
1.0                 ,54524               
2.0                 ,54531               
1.0                 ,54535               
3.0                 ,54538               
4.0                 ,54542               
2.0                 ,54543               
1.0                 ,54546               
1.0                 ,54549               
1.0                 ,54550               
4.0                 ,54553               
1.0                 ,54560               
8.0                 ,54565               
2.0                 ,54566               
3.0                 ,54578               
2.0                 ,54581               
1.0                 ,54584               
1.0                 ,54587               
1.0                 ,54594               
1.0                 ,54602               
1.0                 ,54621               
3.0                 ,54626               
1.0                 ,54632               
10.0                ,54643               
1.0                 ,54644               
1.0                 ,54649               
12.0                ,54656               
1.0                 ,54664               
10.0                ,54665               
1.0                 ,54667               
1.0                 ,54671               
6.0                 ,54672               
24.0                ,54688               
22.0                ,54690               
1.0                 ,54696               
1.0                 ,54701               
3.0                 ,54703               
1.0                 ,54711               
1.0                 ,54712               
3.0                 ,54713               
2.0                 ,54718               
3.0                 ,54720               
68.0                ,54721               
91.0                ,54722               
2.0                 ,54727               
7.0                 ,54729               
2.0                 ,54731               
1.0                 ,54738               
26.0                ,54742               
1.0                 ,54754               
2.0                 ,54755               
1.0                 ,54761               
6.0                 ,54767               
3.0                 ,54775               
2.0                 ,54785               
3.0                 ,54788               
4.0                 ,54795               
1.0                 ,54798               
1.0                 ,54804               
1.0                 ,54805               
3.0                 ,54810               
1.0                 ,54812               
3.0                 ,54813               
37.0                ,54820               
1.0                 ,54830               
1.0                 ,54835               
2.0                 ,54837               
1.0                 ,54839               
2.0                 ,54843               
4.0                 ,54852               
24.0                ,54862               
1.0                 ,54866               
4.0                 ,54870               
2.0                 ,54871               
6.0                 ,54874               
1.0                 ,54885               
7.0                 ,54906               
4.0                 ,54916               
1.0                 ,54917               
2.0                 ,54919               
2.0                 ,54928               
16.0                ,54934               
1.0                 ,54938               
5.0                 ,54950               
7.0                 ,54953               
1.0                 ,54955               
1.0                 ,54962               
2.0                 ,54968               
153.0               ,54974               
2.0                 ,54975               
1.0                 ,54981               
1.0                 ,54983               
18.0                ,54994               
1.0                 ,54999               
3.0                 ,55000               
3.0                 ,55003               
1.0                 ,55004               
1.0                 ,55007               
3.0                 ,55011               
1.0                 ,55013               
3.0                 ,55017               
16.0                ,55024               
88.0                ,55031               
13.0                ,55034               
2.0                 ,55041               
12.0                ,55046               
13.0                ,55050               
7.0                 ,55052               
139.0               ,55074               
1.0                 ,55077               
7.0                 ,55086               
1.0                 ,55088               
3.0                 ,55104               
1.0                 ,55106               
2.0                 ,55119               
2.0                 ,55120               
42.0                ,55122               
2.0                 ,55128               
1.0                 ,55134               
1.0                 ,55135               
2.0                 ,55140               
1.0                 ,55146               
1.0                 ,55158               
34.0                ,55162               
1.0                 ,55163               
2.0                 ,55166               
1.0                 ,55167               
1.0                 ,55181               
12.0                ,55182               
4.0                 ,55184               
1.0                 ,55197               
1.0                 ,55203               
1.0                 ,55211               
1.0                 ,55214               
19.0                ,55215               
3.0                 ,55217               
1.0                 ,55225               
1.0                 ,55227               
3.0                 ,55234               
2.0                 ,55236               
17.0                ,55245               
1.0                 ,55256               
10.0                ,55264               
6.0                 ,55267               
3.0                 ,55272               
5.0                 ,55276               
1.0                 ,55288               
9.0                 ,55292               
1.0                 ,55300               
1.0                 ,55311               
2.0                 ,55318               
1.0                 ,55321               
3.0                 ,55322               
1.0                 ,55326               
2.0                 ,55329               
1.0                 ,55331               
2.0                 ,55333               
1.0                 ,55342               
2.0                 ,55346               
1.0                 ,55351               
7.0                 ,55354               
1.0                 ,55366               
1.0                 ,55381               
1.0                 ,55396               
1.0                 ,55413               
1.0                 ,55418               
7.0                 ,55420               
7.0                 ,55421               
1.0                 ,55427               
4.0                 ,55430               
2.0                 ,55437               
1.0                 ,55445               
2.0                 ,55453               
2.0                 ,55456               
45.0                ,55457               
5.0                 ,55466               
1.0                 ,55467               
2.0                 ,55469               
1.0                 ,55472               
1.0                 ,55475               
1.0                 ,55476               
1.0                 ,55478               
1.0                 ,55479               
1.0                 ,55485               
7.0                 ,55493               
1.0                 ,55494               
1.0                 ,55496               
1.0                 ,55501               
29.0                ,55507               
4.0                 ,55510               
5.0                 ,55511               
2.0                 ,55512               
1.0                 ,55514               
1.0                 ,55517               
2.0                 ,55523               
3.0                 ,55524               
1.0                 ,55527               
8.0                 ,55538               
2.0                 ,55545               
77.0                ,55549               
2.0                 ,55552               
894.0               ,55555               
31.0                ,55563               
4.0                 ,55566               
1.0                 ,55569               
5.0                 ,55576               
5.0                 ,55591               
1.0                 ,55600               
2.0                 ,55608               
3.0                 ,55625               
4.0                 ,55628               
2.0                 ,55629               
1.0                 ,55631               
2.0                 ,55646               
8.0                 ,55651               
1.0                 ,55654               
2.0                 ,55658               
1.0                 ,55670               
1.0                 ,55672               
3.0                 ,55674               
2.0                 ,55685               
2.0                 ,55689               
2.0                 ,55692               
3.0                 ,55696               
1.0                 ,55704               
1.0                 ,55709               
1.0                 ,55718               
1.0                 ,55725               
2.0                 ,55726               
1.0                 ,55727               
1.0                 ,55741               
5.0                 ,55745               
2.0                 ,55747               
1.0                 ,55748               
18.0                ,55749               
1.0                 ,55750               
1.0                 ,55759               
3.0                 ,55760               
2.0                 ,55764               
3.0                 ,55769               
5.0                 ,55770               
18.0                ,55778               
14.0                ,55781               
1.0                 ,55788               
1.0                 ,55797               
15.0                ,55802               
1.0                 ,55808               
1.0                 ,55820               
10.0                ,55826               
2.0                 ,55828               
5.0                 ,55829               
2.0                 ,55842               
7.0                 ,55858               
8.0                 ,55862               
2.0                 ,55880               
1.0                 ,55883               
2.0                 ,55888               
58.0                ,55889               
2.0                 ,55894               
8.0                 ,55901               
1.0                 ,55902               
1.0                 ,55904               
1.0                 ,55907               
3.0                 ,55908               
31.0                ,55911               
23.0                ,55912               
1.0                 ,55913               
131.0               ,55916               
14.0                ,55922               
8.0                 ,55924               
1.0                 ,55940               
3.0                 ,55950               
39.0                ,55958               
11.0                ,55963               
1.0                 ,55965               
2.0                 ,55976               
1.0                 ,55993               
2.0                 ,55996               
1.0                 ,56001               
4.0                 ,56002               
3.0                 ,56006               
1.0                 ,56008               
1.0                 ,56016               
6.0                 ,56018               
4.0                 ,56023               
1.0                 ,56032               
6.0                 ,56039               
5.0                 ,56045               
4.0                 ,56056               
3.0                 ,56087               
1.0                 ,56097               
8.0                 ,56100               
62.0                ,56102               
4.0                 ,56103               
2.0                 ,56112               
1.0                 ,56116               
1.0                 ,56122               
1.0                 ,56127               
23.0                ,56130               
9.0                 ,56138               
3.0                 ,56141               
2.0                 ,56142               
7.0                 ,56145               
1.0                 ,56154               
8.0                 ,56172               
1.0                 ,56173               
1.0                 ,56176               
1.0                 ,56185               
1.0                 ,56193               
92.0                ,56196               
7.0                 ,56198               
98.0                ,56208               
2.0                 ,56209               
1.0                 ,56210               
1.0                 ,56211               
1.0                 ,56216               
2.0                 ,56234               
1.0                 ,56237               
3.0                 ,56253               
62.0                ,56254               
3.0                 ,56266               
26.0                ,56282               
36.0                ,56283               
1.0                 ,56290               
4.0                 ,56295               
43.0                ,56296               
2.0                 ,56298               
178.0               ,56302               
1.0                 ,56303               
1.0                 ,56304               
10.0                ,56305               
1.0                 ,56314               
1.0                 ,56323               
1.0                 ,56326               
12.0                ,56327               
1.0                 ,56328               
2.0                 ,56340               
2.0                 ,56343               
224.0               ,56348               
4.0                 ,56354               
9.0                 ,56359               
6.0                 ,56365               
48.0                ,56366               
2.0                 ,56369               
24.0                ,56376               
1.0                 ,56377               
1.0                 ,56388               
6.0                 ,56417               
3.0                 ,56419               
1.0                 ,56422               
3.0                 ,56423               
8.0                 ,56425               
18.0                ,56428               
3.0                 ,56454               
1.0                 ,56456               
3.0                 ,56460               
14.0                ,56465               
1.0                 ,56481               
1.0                 ,56484               
7.0                 ,56485               
4.0                 ,56486               
1.0                 ,56490               
3.0                 ,56498               
13.0                ,56499               
1.0                 ,56503               
3.0                 ,56515               
2.0                 ,56520               
6.0                 ,56530               
1.0                 ,56533               
15.0                ,56535               
1.0                 ,56537               
1.0                 ,56543               
74.0                ,56544               
1.0                 ,56548               
2.0                 ,56557               
9.0                 ,56562               
1.0                 ,56576               
1.0                 ,56582               
1.0                 ,56584               
2.0                 ,56585               
5.0                 ,56589               
103.0               ,56598               
1.0                 ,56601               
8.0                 ,56605               
2.0                 ,56606               
4.0                 ,56616               
1.0                 ,56618               
2.0                 ,56620               
4.0                 ,56622               
34.0                ,56627               
2.0                 ,56632               
1.0                 ,56634               
29.0                ,56636               
1.0                 ,56638               
4.0                 ,56652               
1.0                 ,56670               
110.0               ,56672               
9.0                 ,56674               
8.0                 ,56676               
2.0                 ,56679               
1.0                 ,56680               
1.0                 ,56699               
3.0                 ,56701               
1.0                 ,56705               
3135.0              ,56708               
1.0                 ,56715               
1.0                 ,56718               
5.0                 ,56723               
1.0                 ,56731               
9.0                 ,56733               
2.0                 ,56737               
51.0                ,56740               
64.0                ,56746               
6.0                 ,56747               
3.0                 ,56757               
1.0                 ,56759               
1.0                 ,56765               
15.0                ,56777               
1.0                 ,56778               
3.0                 ,56787               
1.0                 ,56791               
2.0                 ,56792               
33.0                ,56806               
1.0                 ,56811               
34.0                ,56812               
7.0                 ,56813               
4.0                 ,56821               
7.0                 ,56829               
1.0                 ,56839               
3.0                 ,56844               
2.0                 ,56848               
20.0                ,56854               
13.0                ,56859               
8.0                 ,56863               
1.0                 ,56866               
1.0                 ,56889               
16.0                ,56907               
10.0                ,56908               
1.0                 ,56913               
2.0                 ,56915               
1.0                 ,56923               
1.0                 ,56924               
2.0                 ,56927               
3.0                 ,56929               
4.0                 ,56940               
1.0                 ,56941               
1.0                 ,56947               
1.0                 ,56949               
1.0                 ,56951               
363.0               ,56953               
9.0                 ,56965               
3.0                 ,56967               
286.0               ,56975               
5.0                 ,56976               
1.0                 ,56978               
1.0                 ,56985               
1.0                 ,56988               
9.0                 ,56989               
126.0               ,56990               
1.0                 ,56996               
1.0                 ,57001               
4.0                 ,57014               
1.0                 ,57017               
9.0                 ,57021               
5.0                 ,57023               
4.0                 ,57026               
1.0                 ,57033               
2954.0              ,57034               
2.0                 ,57039               
1.0                 ,57044               
1.0                 ,57055               
3.0                 ,57059               
1.0                 ,57064               
8.0                 ,57066               
1.0                 ,57070               
4.0                 ,57078               
2.0                 ,57085               
6.0                 ,57096               
7.0                 ,57106               
51.0                ,57112               
5.0                 ,57114               
37.0                ,57116               
2.0                 ,57124               
1.0                 ,57132               
3.0                 ,57137               
33.0                ,57140               
1.0                 ,57152               
1.0                 ,57160               
12.0                ,57176               
1.0                 ,57177               
1.0                 ,57179               
